,smrbci,dynamical,exponential
235,"(0.9989021420478821, 0.0010978450300171971)","(0.421779990196228, 0.578220009803772)","(0.2837052345275879, 0.7162947654724121)"
236,"(0.9979146718978882, 0.0020853166934102774)","(0.43906402587890625, 0.5609359741210938)","(0.31458160281181335, 0.6854183673858643)"
237,"(0.9993536472320557, 0.0006463626632466912)","(0.45587268471717834, 0.5441272854804993)","(0.3454834222793579, 0.6545165777206421)"
238,"(0.999989926815033, 1.004346995614469e-05)","(0.47219619154930115, 0.5278037786483765)","(0.37618622183799744, 0.6238137483596802)"
239,"(0.9999027252197266, 9.726504504214972e-05)","(0.4880273938179016, 0.5119726061820984)","(0.40649017691612244, 0.5935097932815552)"
240,"(0.9980020523071289, 0.0019979537464678288)","(0.5033265948295593, 0.4966734051704407)","(0.4360562860965729, 0.5639437437057495)"
241,"(0.9974793791770935, 0.002520614769309759)","(0.5181511640548706, 0.4818488359451294)","(0.46503639221191406, 0.5349636077880859)"
242,"(0.9975761771202087, 0.0024238224141299725)","(0.5325338840484619, 0.4674660861492157)","(0.49348950386047363, 0.5065104961395264)"
243,"(0.9979243278503418, 0.002075685653835535)","(0.5464956164360046, 0.45350438356399536)","(0.5214399099349976, 0.47856009006500244)"
244,"(0.8149348497390747, 0.1850651353597641)","(0.5545487999916077, 0.4454512298107147)","(0.5301858186721802, 0.4698141813278198)"
245,"(0.11622940003871918, 0.8837705850601196)","(0.5413992404937744, 0.458600789308548)","(0.5151053667068481, 0.48489463329315186)"
246,"(0.058675870299339294, 0.9413241147994995)","(0.5269175171852112, 0.4730824828147888)","(0.4943723678588867, 0.5056276321411133)"
247,"(0.07143818587064743, 0.928561806678772)","(0.5132531523704529, 0.4867468476295471)","(0.4754933714866638, 0.5245066285133362)"
248,"(0.007966513745486736, 0.9920334815979004)","(0.4980945587158203, 0.5019054412841797)","(0.4489957094192505, 0.5510042905807495)"
249,"(0.0013408377999439836, 0.9986591339111328)","(0.48319196701049805, 0.516808032989502)","(0.42205074429512024, 0.5779492855072021)"
250,"(0.00018304995319340378, 0.9998169541358948)","(0.46870172023773193, 0.5312982797622681)","(0.3954225778579712, 0.6045774221420288)"
251,"(0.0012209902051836252, 0.9987789988517761)","(0.4546773135662079, 0.5453226566314697)","(0.3693845272064209, 0.6306154727935791)"
252,"(0.004096913151443005, 0.9959030747413635)","(0.4411599040031433, 0.5588400959968567)","(0.3441404700279236, 0.6558595299720764)"
253,"(0.025093918666243553, 0.9749060869216919)","(0.4286779463291168, 0.5713220238685608)","(0.3221123516559601, 0.6778876781463623)"
254,"(0.002923530526459217, 0.9970764517784119)","(0.41590532660484314, 0.5840946435928345)","(0.2972222864627838, 0.7027777433395386)"
255,"(0.01088807638734579, 0.9891119003295898)","(0.4037548303604126, 0.5962451696395874)","(0.27364635467529297, 0.726353645324707)"
256,"(0.04687858000397682, 0.9531214237213135)","(0.39304855465888977, 0.6069514751434326)","(0.25489312410354614, 0.7451068758964539)"
257,"(0.4812485873699188, 0.5187514424324036)","(0.39304855465888977, 0.6069514751434326)","(0.2578045129776001, 0.7421954870223999)"
258,"(0.04751455783843994, 0.9524854421615601)","(0.38268253207206726, 0.6173174381256104)","(0.2391595095396042, 0.7608404755592346)"
259,"(0.42220696806907654, 0.5777930617332458)","(0.3838682770729065, 0.6161317229270935)","(0.24131734669208527, 0.7586826682090759)"
260,"(0.30002763867378235, 0.6999723315238953)","(0.3813530504703522, 0.6186469197273254)","(0.2407485991716385, 0.7592514157295227)"
261,"(0.9404807686805725, 0.05951923131942749)","(0.39812687039375305, 0.6018731594085693)","(0.2642071545124054, 0.735792875289917)"
262,"(0.9996776580810547, 0.0003223347885068506)","(0.41617336869239807, 0.5838266015052795)","(0.2953976094722748, 0.7046023607254028)"
